,phrase,prompt,phrase_length,phrase_num_words,mean_word_len,phrase_non_stopwords,cleaned_phrase
2622,I travelled by plane a few days ago and this time during landing my ears remained clogged and painful.,Ear ache,102,19,4.421052631578948,11,travelled plane day ago time landing ear remained clogged painful
2623,I m feeling cold though the temperature is high,Feeling cold,47,9,4.333333333333333,6,feeling cold temperature high
2624,When I sneeze very hard I feel ear ache,Ear ache,39,9,3.4444444444444446,8,sneeze hard feel ear ache
2625,I do not feel better in my muscles,Muscle pain,34,8,3.375,4,feel better muscle
2626,i have severe dry cough,Cough,23,5,3.8,3,severe dry cough
2627,"I cough a lot when I smell perfume, what is wrong with my lungs?",Cough,64,14,3.642857142857143,8,cough lot smell perfume wrong lung
2628,I have a sharp pain and clicking sound in my ankle joint when I try to stand on it and walk.,Joint pain,92,21,3.4285714285714284,11,sharp pain clicking sound ankle joint try stand walk
2629,My throught is so sore.,Neck pain,23,5,3.8,3,throught sore
2630,My head is so heavy can't think normally,Head ache,40,8,4.125,6,head heavy think normally
2631,I notice a lot more hair coming out than usual when I brush my hair,Hair falling out,67,15,3.533333333333333,9,notice lot hair coming usual brush hair
2632,I feel emotionally crushed,Emotional pain,26,4,5.75,4,feel emotionally crushed
2633,I just can't seem to get warm.  Even when everyone around me is warm I always feel cold.,Feeling cold,88,18,3.888888888888889,8,warm warm feel cold
2634,When I tried to be warm and wear more clothes I found that I was still cold,Feeling cold,75,17,3.4705882352941178,10,tried warm wear clothes found cold
2635,My knee hurts when I play squash,Knee pain,32,7,3.7142857142857144,6,knee hurt play squash
2636,I have a cut on my foot that became infected from using the showers at the gym.,Infected wound,79,17,3.7058823529411766,6,cut foot infected shower gym
2637,I feel pain inside I do not know what it is,Internal pain,43,11,3.0,6,feel pain inside know
2638,"i have whooping cough with excess mucous, need mucolytic.",Cough,57,9,5.444444444444445,6,whooping cough excess mucous need mucolytic
2639,I can't work good I have a pain in my knee,Knee pain,42,11,2.909090909090909,7,work good pain knee
2640,i have a hard pain in my stomach,Stomach ache,32,8,3.125,3,hard pain stomach
2641,I have general discomfort in my torso.,Internal pain,38,7,4.571428571428571,4,general discomfort torso
2642,I feel a great amount of pressure on the sides of my neck,Shoulder pain,57,13,3.4615384615384617,6,feel great pressure side neck
2643,I had internal pain and gases when I ate indian spicy food yesterday,Internal pain,68,13,4.3076923076923075,10,internal pain gas ate indian spicy food yesterday
2644,I cut my foot at the pool and it breaks open every day when I walk on it.,Open wound,73,18,3.111111111111111,10,cut foot pool break open day walk
2645,I have difficulty in breathing in crowded places.,Hard to breath,49,8,5.25,5,difficulty breathing crowded place
2646,My back hurts so much I can't bend down to tie my shoelaces.,Back pain,60,13,3.6923076923076925,7,hurt bend tie shoelace
2647,i feel head ache,Head ache,16,4,3.25,3,feel head ache
2648,My head hurts when I'm doing this.,Head ache,34,7,4.0,5,head hurt
2649,I have cloudy eyes,Blurry vision,18,4,3.75,3,cloudy eye
2650,I feel like my heart is on fire.,Heart hurts,32,8,3.125,5,feel like heart fire
2651,I feel like the room is spinning,Feeling dizzy,32,7,3.7142857142857144,5,feel like room spinning
2652,I fell off my bike and since then I had hard  knee pain,Knee pain,55,13,3.230769230769231,7,fell bike hard knee pain
2653,I have a back pain since I fell on the floor.,Back pain,45,11,3.1818181818181817,5,pain fell floor
2654,My chest acne breaks out and never clears up.,Acne,45,9,4.111111111111111,6,chest acne break clear
2655,When get up I found that I have a stomach ache  and I tried to take medecine but my stomach still hurting me,Stomach ache,108,23,3.6956521739130435,11,found stomach ache tried medecine stomach hurting
2656,i have pain but i can't specify place,Internal pain,37,8,3.75,4,pain specify place
2657,i have disterbance in my emotion,Emotional pain,32,6,4.5,2,disterbance emotion
2658,I have an ear ache when showering,Ear ache,33,7,3.857142857142857,4,ear ache showering
2659,When I play sports  I have some burning sensation in my spine,Back pain,61,12,4.083333333333333,8,play sport burning sensation spine
2660,I have constant stomach pain and bloating.,Internal pain,42,7,5.142857142857143,5,constant stomach pain bloating
2661,I get an ear ache when it is cold,Ear ache,33,9,2.7777777777777777,4,ear ache cold
2662,Sharp pain and heavy breathing,Internal pain,30,5,5.2,4,sharp pain heavy breathing
2663,When I stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy,66,13,4.153846153846154,9,stand quickly start feel dizzy lightheaded
2664,When I play football I have joint pain.,Joint pain,39,8,4.0,7,play football joint pain
2665,My back hurts so much I can't bend down to tie my shoelaces.,Back pain,60,13,3.6923076923076925,7,hurt bend tie shoelace
2666,I feel depressed when I see my hair falling out,Hair falling out,47,10,3.8,6,feel depressed hair falling
2667,When I was young I had an injury from sports in my knee.,Injury from sports,56,13,3.3846153846153846,7,young injury sport knee
2668,My grandmother last year went to hospital because she was having a hard time breathing,Hard to breath,86,15,4.8,9,grandmother year went hospital having hard time breathing
2669,My muscle in my shoulder burns when I move my arm.,Muscle pain,50,11,3.6363636363636362,6,muscle shoulder burn arm
2670,I feel congestion in my chest,Cough,29,6,4.0,4,feel congestion chest
2671,I have a red rash that is itchy on my skin,Skin issue,42,11,2.909090909090909,5,red rash itchy skin
2672,I feel a great pain in my shoulder joint and it does not go away,Joint pain,64,15,3.3333333333333335,7,feel great pain shoulder joint away
2673,I used alot of pain killer to get better but i still feel the same back pain,Back pain,76,17,3.5294117647058822,7,alot pain killer better feel pain
2674,My ankle joint throbs when I put pressure on my foot.,Joint pain,53,11,3.909090909090909,7,ankle joint throb pressure foot
2675,The joints in my fingers are painful in the morning.,Joint pain,52,10,4.3,5,joint finger painful morning
2676,I cut my foot at the pool and it breaks open every day when I walk on it.,Open wound,73,18,3.111111111111111,10,cut foot pool break open day walk
2677,"When I drink a lot, I get a headache",Head ache,36,9,3.111111111111111,6,drink lot headache
2678,My neck has been sore since the accident.,Neck pain,41,8,4.25,4,neck sore accident
2679,I feel a pain in my back,Back pain,24,7,2.5714285714285716,3,feel pain
2680,I feel emotionally crushed,Emotional pain,26,4,5.75,4,feel emotionally crushed
2681,I feel pain inside and I can not identify it,Internal pain,44,10,3.5,6,feel pain inside identify
2682,heart aches so much,Heart hurts,19,4,4.0,2,heart ache
2683,"i can't walk, my knee hurts me",Knee pain,30,7,3.4285714285714284,4,walk knee hurt
2684,Oh my heart hurts me I tried to be calm and I can't,Heart hurts,51,13,3.0,8,heart hurt tried calm
2685,I have a dull ache in my head,Head ache,29,8,2.75,4,dull ache head
2686,I used to have acne when I was 15 years old,Acne,43,11,3.0,6,acne year old
2687,"My stomach aches when I eat hot food, why?",Stomach ache,42,9,3.7777777777777777,8,stomach ache eat hot food
2688,When I play football I have muscle pain.,Muscle pain,40,8,4.125,7,play football muscle pain
2689,I'm feeling nauseous,Stomach ache,20,3,6.0,3,feeling nauseous
2690,I had a collision while playing soccer.  My knee buckled and now it's unstable.,Injury from sports,79,14,4.642857142857143,9,collision playing soccer knee buckled unstable
2691,I feel pain inside I do not know what it is,Internal pain,43,11,3.0,6,feel pain inside know
2692,"I can't stand up, I feel my brain is moving inside my skull.",Head ache,60,13,3.6923076923076925,10,stand feel brain moving inside skull
2693,I feel shoulder pain at intervals of time.,Shoulder pain,42,8,4.375,6,feel shoulder pain interval time
2694,My lungs feel heavy like they are filled with mucus,Cough,51,10,4.2,7,lung feel heavy like filled mucus
2695,I feel so sore in my stomach area.,Stomach ache,34,8,3.375,5,feel sore stomach area
2696,Stomach pain after drinking milk,Stomach ache,32,5,5.6,4,stomach pain drinking milk
2697,standing less than five minutes and my back start to ache,Back pain,57,11,4.2727272727272725,4,standing minute start ache
2698,I've got a hard time to breath- am I having a heart attack?,Hard to breath,59,13,3.6153846153846154,9,got hard time breath having heart attack
2699,I have an indigestion,Stomach ache,21,4,4.5,2,indigestion
2700,When i eat i feel my stomach hurts,Stomach ache,34,8,3.375,5,eat feel stomach hurt
2701,There is this pain that radiates from my chest up to my left arm.,Heart hurts,65,14,3.7142857142857144,6,pain radiates chest left arm
2702,"When I go to stand, my head starts swirling",Feeling dizzy,43,9,3.888888888888889,6,stand head start swirling
2703,I have a foot ache although I don't walk a lot.,Foot ache,47,11,3.3636363636363638,7,foot ache walk lot
2704,I feel like the room is spinning,Feeling dizzy,32,7,3.7142857142857144,5,feel like room spinning
2705,I have this strange rash on my arm.,Skin issue,35,8,3.5,4,strange rash arm
2706,My hair is falling out after I take a shower.,Hair falling out,45,10,3.6,5,hair falling shower
2707,I have an ear ache when showering,Ear ache,33,7,3.857142857142857,4,ear ache showering
2708,"Had I stepped on a needle it wouldn't have hurt so much, like this damned spur in my heel.",Foot ache,90,19,3.789473684210526,11,stepped needle hurt like damned spur heel
2709,i have muscle pain at my left leg.,Muscle pain,34,8,3.375,4,muscle pain left leg
2710,When I lift my arms up I have a soreness in my shoulders,Shoulder pain,56,13,3.3846153846153846,7,lift arm soreness shoulder
2711,I feel joint pain every time I move,Joint pain,35,8,3.5,6,feel joint pain time
2712,There are some pimples on my face that bother me a lot,Acne,54,12,3.5833333333333335,5,pimple face bother lot
2713,"I was diagnosed with  B12-deficiency anemia, which explains why I always felt cold.",Feeling cold,83,13,5.384615384615385,8,diagnosed anemia explains felt cold
2714,I feel pain inside I do not know what it is,Internal pain,43,11,3.0,6,feel pain inside know
2715,I feel a clicking sensation in my knee each time I step.,Joint pain,56,12,3.75,8,feel clicking sensation knee time step
2716,I don't have the energy to do the things that I used to,Body feels weak,55,13,3.3076923076923075,5,energy thing
2717,There is pain in the muscles I do not know caused,Muscle pain,49,11,3.5454545454545454,6,pain muscle know caused
2718,My body feels weak and i think that my face is fade and i can't sleep well,Body feels weak,74,17,3.411764705882353,9,body feel weak think face fade sleep
2719,I wake up at night feeling cold,Feeling cold,31,7,3.5714285714285716,5,wake night feeling cold
2720,When I play football I have muscle pain.,Muscle pain,40,8,4.125,7,play football muscle pain
2721,Chronic bowel Pain,Internal pain,18,3,5.333333333333333,3,chronic bowel pain
2722,I have a break in the skin inside one of my nostrils that has become infected and is now filled with pus.,Infected wound,105,22,3.8181818181818183,8,break skin inside nostril infected filled pu
2723,i feel cold,Feeling cold,11,3,3.0,2,feel cold
2724,I feel shoulder pain at intervals of time.,Shoulder pain,42,8,4.375,6,feel shoulder pain interval time
2725,My heart hurts when I exercise,Heart hurts,30,6,4.166666666666667,5,heart hurt exercise
2726,"After playing tennis,  I had a powerful sensation close to my neck",Shoulder pain,66,12,4.5,8,playing tennis powerful sensation close neck
2727,"Even if the temperature is high in the house,  my body is always cold",Feeling cold,69,14,3.9285714285714284,6,temperature high house body cold
2728,My hair is falling out in bunches.,Hair falling out,34,7,4.0,4,hair falling bunch
2729,My skin is very dry and peeling.,Skin issue,32,7,3.7142857142857144,4,skin dry peeling
2730,I'm having a hard time hearing.,Ear ache,31,6,4.333333333333333,5,having hard time hearing
2731,"My left ear is ok, but the right one feels like it's being stabbed with a nail.",Ear ache,79,17,3.7058823529411766,10,left ear right feel like stabbed nail
2732,"It is hard to breath when I am in the underground metro station, why?",Hard to breath,69,14,4.0,8,hard breath underground metro station
2733,I was playing soccer and I twisted my ankle,Injury from sports,43,9,3.888888888888889,6,playing soccer twisted ankle
2734,"When I move my shoulder, it's like lightning is being sent through my shoulder",Shoulder pain,78,14,4.642857142857143,8,shoulder like lightning sent shoulder
2735,i feel pain in my body,Internal pain,22,6,2.8333333333333335,3,feel pain body
2736,I could not exercise because of my knee pain,Knee pain,44,9,4.0,4,exercise knee pain
2737,I have a mental suffering,Emotional pain,25,5,4.2,3,mental suffering
2738,I feel a lot of pain in the joints.,Joint pain,35,9,3.0,5,feel lot pain joint
2739,I have a painful cramp in my feet,Foot ache,33,8,3.25,4,painful cramp foot
2740,I often get a stomach ache after I eat.  I haven't been able to pinpoint which foods might be the trigger.,Stomach ache,106,21,4.0476190476190474,11,stomach ache eat able pinpoint food trigger
2741,i have a pain in my trapes,Muscle pain,26,7,2.857142857142857,2,pain trapes
2742,When I sneeze very hard I feel ear ache,Ear ache,39,9,3.4444444444444446,8,sneeze hard feel ear ache
2743,I used to have acne when I was 15 years old,Acne,43,11,3.0,6,acne year old
2744,My ear hurts when I touch it.,Ear ache,29,7,3.2857142857142856,6,ear hurt touch
2745,I suffered a deep wound in my hand and I can not stop the bleeding,Infected wound,66,15,3.466666666666667,8,suffered deep wound hand stop bleeding
2746,"I can't stand up, I feel my brain is moving inside my skull.",Head ache,60,13,3.6923076923076925,10,stand feel brain moving inside skull
2747,I wake up at night feeling cold,Feeling cold,31,7,3.5714285714285716,5,wake night feeling cold
2748,I can't stand with this horrible feeling in my shoulder,Shoulder pain,55,10,4.6,6,stand horrible feeling shoulder
2749,I had a sharp pain in my stomach,Stomach ache,32,8,3.125,4,sharp pain stomach
2750,I toppled over while jumping to catch the ball.,Injury from sports,47,9,4.333333333333333,5,toppled jumping catch ball
2751,"My husband left me for another woman, my heart hurts so badly to the point I can't eat or sleep.",Heart hurts,96,20,3.85,12,husband left woman heart hurt badly point eat sleep
2752,I have severe shoulder pain,Shoulder pain,27,5,4.6,4,severe shoulder pain
2753,I cannot bear this squeezing sensation I have in my chest.,Heart hurts,58,11,4.363636363636363,6,bear squeezing sensation chest
2754,Something dark is there on my arm,Skin issue,33,7,3.857142857142857,3,dark arm
2755,I have a head pain every single day.,Internal pain,36,8,3.625,5,head pain single day
2756,my back hurts me a lot,Back pain,22,6,2.8333333333333335,2,hurt lot
2757,My ear hurts and it's worse when I swallow.  My ear is very painful and Tylenol hasn't helped.,Ear ache,94,18,4.222222222222222,13,ear hurt worse swallow ear painful tylenol helped
2758,I feel great pain in the head,Head ache,29,7,3.2857142857142856,5,feel great pain head
2759,I feel pain in my throat,Cough,24,6,3.1666666666666665,4,feel pain throat
2760,I have a sharp pain in my abdomen.,Internal pain,34,8,3.375,4,sharp pain abdomen
2761,I feel deep Tingling when I touch Acne followed by bad sensation,Acne,64,12,4.416666666666667,10,feel deep tingling touch acne followed bad sensation
2762,Even though I'm an adult my face keeps breaking out in pimples.,Acne,63,12,4.333333333333333,7,adult face keep breaking pimple
2763,When I'm tired I feel my head heavy,Head ache,35,8,3.5,7,tired feel head heavy
2764,My heart is beating fast and it scares me.,Heart hurts,42,9,3.7777777777777777,6,heart beating fast scare
2765,I can hardly move my neck.  It hurts.,Neck pain,37,8,3.625,5,hardly neck hurt
2766,When I force my eyes to view I have blurry vision.,Blurry vision,50,11,3.6363636363636362,8,force eye view blurry vision
2767,I have a pain in my stomach,Internal pain,27,7,3.0,3,pain stomach
2768,i was travelling by ship and i feel dizzy.,Feeling dizzy,42,9,3.7777777777777777,4,travelling ship feel dizzy
2769,I have acne in my face and other problema in my derma like itching,Skin issue,66,14,3.7857142857142856,7,acne face problema derma like itching
2770,I can't get a girlfriend because of my acne.,Acne,44,9,4.0,4,girlfriend acne
2771,My knees ache on cold and rainy days.,Knee pain,37,8,3.75,6,knee ache cold rainy day
2772,Sometimes I feel like a claw on my chest that leaves me breathless.,Hard to breath,67,13,4.230769230769231,8,feel like claw chest leaf breathless
2773,I was kicked in the head playing soccer last night.,Injury from sports,51,10,4.2,6,kicked head playing soccer night
2774,My foot hurts me a lot of playing football,Foot ache,42,9,3.7777777777777777,6,foot hurt lot playing football
2775,My back hurts so much I can't bend down to tie my shoelaces.,Back pain,60,13,3.6923076923076925,7,hurt bend tie shoelace
2776,I have a break in the skin between my thumb and index finger and it will not close.,Open wound,83,18,3.6666666666666665,7,break skin thumb index finger close
2777,When I brush my hair I notice big clumps of hair coming out in the brush.,Hair falling out,73,16,3.625,11,brush hair notice big clump hair coming brush
2778,"My stomach aches after I drink any soda drink, why?",Stomach ache,51,10,4.2,8,stomach ache drink soda drink
2779,my heart hurts me,Heart hurts,17,4,3.5,2,heart hurt
2780,i have difficulty moving my neck,Neck pain,32,6,4.5,3,difficulty moving neck
2781,I cut my hand a couple of days ago and although I didn't think I needed it stitches it hasn't closed up.,Open wound,104,22,3.772727272727273,15,cut hand couple day ago think needed stitch closed
2782,My foot had been aching since last Tuesday.,Foot ache,43,8,4.5,4,foot aching tuesday
2783,I have found some issues in my skin and tried to use cream but it doesn't get better,Skin issue,84,18,3.7222222222222223,9,found issue skin tried use cream better
2784,I feel cold when the night comes,Feeling cold,32,7,3.7142857142857144,5,feel cold night come
2785,In highschool I had a lot of acne.,Acne,34,8,3.375,5,highschool lot acne
2786,I feel hurts in my heart,Heart hurts,24,6,3.1666666666666665,4,feel hurt heart
2787,i have a migrain and i took panadol but it doesnÕt help,Head ache,56,12,3.75,5,migrain took panadol help
2788,i feel that is great pain in my left shoulder,Shoulder pain,45,10,3.6,5,feel great pain left shoulder
2789,I have a back pain since I turned 70 years old.,Back pain,47,11,3.3636363636363638,7,pain turned year old
2790,"i walked a long for 3 km, i feel pain in my foot like foot ache",Foot ache,63,16,3.0,10,walked long feel pain foot like foot ache
2791,I hit myself and the would doesn't want to heal,Open wound,47,10,3.8,5,hit want heal
2792,"I feel like I just can't cope anymore, I feel overwhelmed and like I just can't get a break.",Emotional pain,92,19,3.8947368421052633,14,feel like cope anymore feel overwhelmed like break
2793,After walking I have some pain under my foot,Foot ache,44,9,4.0,5,walking pain foot
2794,"I feel chilly, like an ice cube.  My sister said that she needs several blankets to cover her so that she is warm enough.",Feeling cold,121,24,4.041666666666667,14,feel chilly like ice cube sister said need blanket cover warm
2795,When I'm tired I feel my head heavy,Head ache,35,8,3.5,7,tired feel head heavy
2796,I have a head pain every single day.,Internal pain,36,8,3.625,5,head pain single day
2797,"Even if the temperature is high in the house,  my body is always cold",Feeling cold,69,14,3.9285714285714284,6,temperature high house body cold
2798,My face is all broken out with pimples.,Acne,39,8,4.0,4,face broken pimple
2799,Is pimples a skin disease?,Acne,26,5,4.4,4,pimple skin disease
2800,There is a tingling sensation in my neck.,Neck pain,41,8,4.25,4,tingling sensation neck
2801,How do you know if you have a torn meniscus in your knee?,Knee pain,57,13,3.4615384615384617,5,know torn meniscus knee
2802,I have a cut that is red and swollen.,Infected wound,37,9,3.2222222222222223,4,cut red swollen
2803,I feel a strange and powerful pain inside my rib cage,Heart hurts,53,11,3.909090909090909,8,feel strange powerful pain inside rib cage
2804,I cut myself and I'm bleeding.,Open wound,30,6,4.166666666666667,4,cut bleeding
2805,There's swelling in my neck and it hurts.,Neck pain,41,8,4.25,4,swelling neck hurt
2806,"I can't hear out of my ear properly, I feel like there is something in it causing irritation.",Ear ache,93,18,4.222222222222222,10,hear ear properly feel like causing irritation
2807,My chest break out with red pimples and whiteheads.,Acne,51,9,4.777777777777778,6,chest break red pimple whitehead
2808,"i feel hurt, lot of pain in my heart",Emotional pain,36,9,3.111111111111111,5,feel hurt lot pain heart
2809,"I have a blurry vision since I woke up this morning, what could be the reason?",Blurry vision,78,16,3.9375,7,blurry vision woke morning reason
2810,My kneecap feels like it is grating bone on bone when I walk.,Knee pain,61,13,3.769230769230769,9,kneecap feel like grating bone bone walk
2811,I have a ear ache when I go to the pool,Ear ache,39,11,2.6363636363636362,5,ear ache pool
2812,i have disterbance in my emotion,Emotional pain,32,6,4.5,2,disterbance emotion
2813,fell skull is cracked like nuts,Head ache,31,6,4.333333333333333,5,fell skull cracked like nut
2814,"My hair is falling without a reason, I can see a lot of hair on my working desk.",Hair falling out,80,18,3.5,9,hair falling reason lot hair working desk
2815,I don't have problems taking in breath but out breath is so heavy,Hard to breath,65,13,4.076923076923077,7,problem taking breath breath heavy
2816,When I think of my parents I feel pain,Emotional pain,38,9,3.3333333333333335,7,think parent feel pain
2817,"When I go to stand, my head starts swirling",Feeling dizzy,43,9,3.888888888888889,6,stand head start swirling
2818,I can't stop coughing,Cough,21,4,4.5,4,stop coughing
2819,My back is hurting so much.,Back pain,27,6,3.6666666666666665,3,hurting
2820,There are some pimples on my face that bother me a lot,Acne,54,12,3.5833333333333335,5,pimple face bother lot
2821,I feel a sharp pain in my head when I think too hard.,Head ache,53,13,3.1538461538461537,8,feel sharp pain head think hard
2822,"after playing football, i have muscle pain with my both legs.",Muscle pain,61,11,4.636363636363637,5,playing football muscle pain leg
2823,"I was diagnosed with  B12-deficiency anemia, which explains why I always felt cold.",Feeling cold,83,13,5.384615384615385,8,diagnosed anemia explains felt cold
2824,I carried a heavy bag yesterday and when I get up today I felt a great shoulder pain.,Shoulder pain,85,18,3.7777777777777777,12,carried heavy bag yesterday today felt great shoulder pain
2825,i have a pain in my trapes,Muscle pain,26,7,2.857142857142857,2,pain trapes
2826,There is this pain that radiates from my chest up to my left arm.,Heart hurts,65,14,3.7142857142857144,6,pain radiates chest left arm
2827,I get breakouts on my chest with red patches that get more intense when i get hot.,Acne,82,17,3.8823529411764706,7,breakout chest red patch intense hot
2828,I suffered a deep wound in my hand and I can not stop the bleeding,Infected wound,66,15,3.466666666666667,8,suffered deep wound hand stop bleeding
2829,I feel a clicking sensation in my knee each time I step.,Joint pain,56,12,3.75,8,feel clicking sensation knee time step
2830,discomfort or pain that is felt at some point along the front of the body between the neck and upper abdomen.,Internal pain,109,21,4.238095238095238,8,discomfort pain felt point body neck upper abdomen
2831,There is a sharp pain in my bicep,Muscle pain,33,8,3.25,4,sharp pain bicep
2832,I have dark spots on my skin,Skin issue,28,7,3.142857142857143,4,dark spot skin
2833,I toppled over while jumping to catch the ball.,Injury from sports,47,9,4.333333333333333,5,toppled jumping catch ball
2834,When I tried to answer the phine call I found that I can't hear the voice of the speaker,Ear ache,88,19,3.6842105263157894,12,tried answer phine found hear voice speaker
2835,I had a pain in my knee when I was swimming,Knee pain,43,11,3.0,5,pain knee swimming
2836,I noticed an important decrease in my vision when I try to look at things up close.,Blurry vision,83,17,3.9411764705882355,10,noticed important decrease vision try look thing close
2837,I can't do anything I feel a weak in my body,Body feels weak,44,11,3.090909090909091,6,feel weak body
2838,Hearing any loud sounds makes my ear aches,Ear ache,42,8,4.375,6,hearing loud sound make ear ache
2839,I have a sharp pain and clicking sound in my ankle joint when I try to stand on it and walk.,Joint pain,92,21,3.4285714285714284,11,sharp pain clicking sound ankle joint try stand walk
2840,I just can't seem to get warm.  Even when everyone around me is warm I always feel cold.,Feeling cold,88,18,3.888888888888889,8,warm warm feel cold
2841,"You won't believe me, but this infected wound on my hand is from a paper cut I didn't take seriously.",Infected wound,101,20,4.1,12,believe infected wound hand paper cut seriously
2842,After eating  I have burning sensation inside of me.,Stomach ache,52,9,4.777777777777778,7,eating burning sensation inside
2843,My head hurts in the back and the pain lasts all day.,Head ache,53,12,3.5,6,head hurt pain last day
2844,I got injured exercising,Injury from sports,24,4,5.25,4,got injured exercising
2845,having difficulty moving my knee,Knee pain,32,5,5.6,4,having difficulty moving knee
2846,When I walk I get a stabbing pain in the top of my foot,Foot ache,55,14,3.0,7,walk stabbing pain foot
2847,The worst headache was during a hangover in my twenties: I sincerely thought I was going to die from brain inflammation.,Head ache,120,21,4.761904761904762,13,worst headache hangover twenty sincerely thought going die brain inflammation
2848,My joints feel swollen,Joint pain,22,4,4.75,4,joint feel swollen
2849,I feel like the world goes round and round,Feeling dizzy,42,9,3.7777777777777777,7,feel like world go round round
2850,My knee catches and hurts when I first stand up after sitting.,Knee pain,62,12,4.25,7,knee catch hurt stand sitting
2851,I have a wound between my toes that gets better overnight and then reopens ever day when I wear dress shoes to work.,Open wound,116,23,4.086956521739131,13,wound toe get better overnight reopens day wear dress shoe work
2852,I feel back pain when I carry heavy things,Back pain,42,9,3.7777777777777777,7,feel pain carry heavy thing
2853,I have general discomfort in my torso.,Internal pain,38,7,4.571428571428571,4,general discomfort torso
2854,my head hurts me badly,Head ache,22,5,3.6,3,head hurt badly
2855,i can't move my shoulder because of pain,Shoulder pain,40,8,4.125,3,shoulder pain
2856,I feel hurts in my heart,Heart hurts,24,6,3.1666666666666665,4,feel hurt heart
2857,I cut my foot at the pool and it breaks open every day when I walk on it.,Open wound,73,18,3.111111111111111,10,cut foot pool break open day walk
2858,I have found some issues in my skin and tried to use cream but it doesn't get better,Skin issue,84,18,3.7222222222222223,9,found issue skin tried use cream better
2859,My lungs feel heavy like they are filled with mucus,Cough,51,10,4.2,7,lung feel heavy like filled mucus
2860,I feel pain in my neck after waking up,Neck pain,38,9,3.3333333333333335,5,feel pain neck waking
2861,I feel a sharp pain in my head when I think too hard.,Head ache,53,13,3.1538461538461537,8,feel sharp pain head think hard
2862,"I couldn't stop shaking or unclench my jaw, that's how cold I was.",Feeling cold,66,13,4.153846153846154,10,stop shaking unclench jaw cold
2863,standing less than five minutes and my back start to ache,Back pain,57,11,4.2727272727272725,4,standing minute start ache
2864,It feels like someone is hitting my head with a hammer.  I feel pain on the top of my head and it throbs.,Head ache,105,23,3.5652173913043477,11,feel like hitting head hammer feel pain head throb
2865,I have a sharp pain in my abdomen.,Internal pain,34,8,3.375,4,sharp pain abdomen
2866,I have a pain that radiates up from my right hip to my rib cage.  It is at it's worst when I urinate.,Internal pain,101,23,3.391304347826087,12,pain radiates right hip rib cage worst urinate
2867,"I cut my finger opening a can, it won't stop bleeding and the wound is gaping and open",Open wound,86,18,3.8333333333333335,11,cut finger opening stop bleeding wound gaping open
2868,My sore looks like its not healing well.,Infected wound,40,8,4.125,6,sore look like healing
2869,Sharp pain and heavy breathing,Internal pain,30,5,5.2,4,sharp pain heavy breathing
2870,I have an indigestion,Stomach ache,21,4,4.5,2,indigestion
2871,When I eat too much sugar my body gets weak and dizzy.,Body feels weak,54,12,3.5833333333333335,8,eat sugar body get weak dizzy
2872,When I eat sugar I notice my vision blurs.,Blurry vision,42,9,3.7777777777777777,8,eat sugar notice vision blur
2873,There is an injured person,Infected wound,26,5,4.4,3,injured person
2874,"When I walk up a flight of stairs, my right knee hurts.",Knee pain,55,12,3.6666666666666665,8,walk flight stair right knee hurt
2875,I complain alot with skin allergy,Skin issue,33,6,4.666666666666667,5,complain alot skin allergy
2876,I tried to put my glasses to see more clear but cant find any change,Blurry vision,68,15,3.6,7,tried glass clear cant find change
2877,I stopped sports because I get Injury from sports,Injury from sports,49,9,4.555555555555555,6,stopped sport injury sport
2878,i can hardly breathe,Hard to breath,20,4,4.25,2,hardly breathe
2879,My muscles feel tired,Body feels weak,21,4,4.5,4,muscle feel tired
2880,I feel pain in my joint after an injury in the last football match I played.,Joint pain,76,16,3.8125,9,feel pain joint injury football match played
2881,I can't work good I have a pain in my knee,Knee pain,42,11,2.909090909090909,7,work good pain knee
2882,"My skin color on my back is red, I don't know why.",Skin issue,50,12,3.25,8,skin color red know
2883,I get i joint pain when i try to bend my leg or my arm,Joint pain,54,15,2.6666666666666665,7,joint pain try bend leg arm
2884,"It started as a tinnitus, but today the pain is throbbing and unbearable.",Ear ache,73,13,4.6923076923076925,7,started tinnitus today pain throbbing unbearable
2885,I have general discomfort in my torso.,Internal pain,38,7,4.571428571428571,4,general discomfort torso
2886,i have a strong shoulder pain,Shoulder pain,29,6,4.0,3,strong shoulder pain
2887,I have a cut that is red and swollen.,Infected wound,37,9,3.2222222222222223,4,cut red swollen
2888,is my cut infected or just healing?,Infected wound,35,7,4.142857142857143,3,cut infected healing
2889,There are lots of hairs on my pillow in the morning.,Hair falling out,52,11,3.8181818181818183,5,lot hair pillow morning
2890,It's hard to see things,Blurry vision,23,5,3.8,3,hard thing
2891,I have a lot of mucus when I cough.,Cough,35,9,3.0,5,lot mucus cough
2892,When I play football I have joint pain.,Joint pain,39,8,4.0,7,play football joint pain
2893,I get i joint pain when i try to bend my leg or my arm,Joint pain,54,15,2.6666666666666665,7,joint pain try bend leg arm
2894,i have shoulder pain after doing any home work.,Shoulder pain,47,9,4.333333333333333,4,shoulder pain home work
2895,Every time I take a deep breath I start coughing,Cough,48,10,3.9,8,time deep breath start coughing
2896,Severe pain in the ear,Ear ache,22,5,3.6,3,severe pain ear
2897,i have a strong shoulder pain,Shoulder pain,29,6,4.0,3,strong shoulder pain
2898,my temperature dropped and my body get synosed,Feeling cold,46,8,4.875,4,temperature dropped body synosed
